"playlistName","numFollowers","numSongs","avgPopularity","avgSongLen","maxSongLen","minSongLen"
37i9dQZF1DXbfoaBZnT7iw,24109,51,48.76470588235294,216976.3137254902,392600.0,128454.0
37i9dQZF1DWVRje2pMSCzM,471038,50,37.46,224752.3,372093.0,127840.0
37i9dQZF1DX0FOF1IUWK1W,3843841,50,73.44,181518.24,279757.0,134107.0
37i9dQZF1DX2UgsUIg75Vg,1505667,50,61.94,215438.04,294800.0,143075.0
37i9dQZF1DWWmaszSfZpom,447697,60,62.233333333333334,177766.95,267795.0,125989.0
37i9dQZF1DX3qCx5yEZkcJ,1282638,110,50.518181818181816,154736.6,374200.0,64507.0
37i9dQZF1DX0DxcHtn4Hwo,154795,98,58.48979591836735,183896.42857142858,310147.0,76779.0
37i9dQZF1DX82Zzp6AKx64,443700,49,42.285714285714285,286770.0,537507.0,165667.0
37i9dQZF1DXcxvFzl58uP7,271517,128,49.59375,197371.609375,456000.0,82500.0
37i9dQZF1DWVEvzGeX3eRs,813850,48,48.458333333333336,302054.1875,438707.0,215267.0
37i9dQZF1DWVA3B2Z7YXJk,127209,53,53.339622641509436,196850.09433962265,300130.0,134069.0
37i9dQZF1DX4AyFl3yqHeK,508271,59,27.796610169491526,186596.05084745763,410187.0,54520.0
37i9dQZF1DX825chLrgrNl,90546,31,54.774193548387096,260534.8064516129,406413.0,191520.0
37i9dQZF1DWX82ahbDuQIz,233415,50,39.0,233227.68,526253.0,62693.0
37i9dQZF1DX83I5je4W4rP,659298,69,45.57971014492754,222264.1884057971,345484.0,133080.0
37i9dQZF1DWXs1L3AC0Xio,207445,80,46.8375,252410.4,388733.0,163333.0
37i9dQZF1DX4SBhb3fqCJd,4702067,46,65.52173913043478,215854.26086956522,292885.0,143075.0
37i9dQZF1DX76Wlfdnj7AP,4836345,50,68.2,205697.28,340132.0,127947.0
37i9dQZF1DWZgZxLup5qYy,86686,50,46.0,171826.22,257214.0,95556.0
37i9dQZF1DWTwzVdyRpXm1,211245,51,43.529411764705884,230154.54901960783,357337.0,129999.0
37i9dQZF1DX3rxVfibe1L0,2821322,79,74.24050632911393,199135.7594936709,267657.0,145778.0
37i9dQZF1DX3vtb4am50ft,39340,38,51.39473684210526,167066.13157894736,257214.0,135105.0
37i9dQZF1DX8jnAPF7Iiqp,221058,50,37.4,273468.5,406396.0,181596.0
37i9dQZF1DWTdN26VziZZM,12470,31,41.645161290322584,173132.12903225806,268800.0,119613.0
37i9dQZF1DXaVgr4Tx5kRF,349586,50,40.82,247565.4,366267.0,140533.0
37i9dQZF1DXcnkReojaCnV,344518,55,37.61818181818182,253573.94545454546,379933.0,155645.0
37i9dQZF1DX2nX8HgBDmgL,33814,56,42.625,194947.10714285713,249783.0,148979.0
